id,nombre,precio,stock
1,Cargador,437.45,74
2,Funda,640.54,71
3,Notebook,378.71,93
4,Tablet,759.66,57
5,Cargador,554.27,17
6,Notebook,585.68,46
7,Notebook,337.82,37
8,Tablet,161.9,87
9,Funda,537.59,87
10,Funda,387.53,73
11,Tablet,701.36,3
12,Celular,673.24,50
13,Funda,470.09,63
14,Celular,68.04,63
15,Funda,524.72,60
16,Cargador,515.6,52
17,Funda,576.94,48
18,Celular,313.49,51
19,Funda,498.89,6
20,Celular,306.61,63
21,Funda,657.48,93
22,Tablet,286.35,1
23,Tablet,363.74,24
24,Notebook,446.33,22
25,Tablet,280.14,88
26,Tablet,618.06,48
27,Tablet,461.4,34
28,Tablet,220.34,22
29,Notebook,757.66,39
30,Funda,16.27,18
31,Tablet,500.29,63
32,Notebook,235.61,74
33,Notebook,40.12,88
34,Cargador,524.5,17
35,Celular,668.48,7
36,Tablet,525.25,27
37,Notebook,717.97,86
38,Cargador,247.14,78
39,Tablet,82.95,2
40,Tablet,437.48,50
41,Cargador,671.65,16
42,Funda,513.59,43
43,Notebook,120.27,79
44,Tablet,265.66,11
45,Cargador,630.02,77
46,Funda,797.56,13
47,Celular,794.84,94
48,Funda,746.64,38
49,Notebook,758.57,0
50,Cargador,362.64,71
51,Tablet,320.96,26
52,Celular,395.35,92
53,Notebook,54.28,76
54,Funda,193.36,94
55,Tablet,683.23,88
56,Celular,498.55,54
57,Celular,521.75,16
58,Tablet,437.55,62
59,Notebook,467.6,73
60,Tablet,225.12,56
61,Cargador,399.75,53
62,Funda,18.49,39
63,Cargador,375.63,18
64,Tablet,430.67,64
65,Cargador,662.44,78
66,Notebook,85.31,68
67,Notebook,314.26,58
68,Celular,224.58,50
69,Celular,199.71,99
70,Tablet,776.26,53
71,Cargador,344.91,43
72,Funda,256.8,47
73,Celular,297.39,50
74,Notebook,507.45,47
75,Notebook,450.93,87
76,Tablet,146.05,94
77,Tablet,555.42,54
78,Cargador,676.52,74
79,Notebook,140.55,65
80,Notebook,501.73,3
81,Funda,764.27,44
82,Celular,129.66,11
83,Funda,536.61,52
84,Cargador,293.08,56
85,Cargador,686.21,40
86,Notebook,173.59,14
87,Cargador,653.14,38
88,Funda,738.83,99
89,Cargador,299.96,97
90,Funda,417.1,13
91,Funda,45.64,46
92,Funda,19.39,61
93,Tablet,714.99,5
94,Notebook,355.18,61
95,Funda,758.26,14
96,Celular,432.83,77
97,Notebook,446.91,65
98,Celular,422.88,92
99,Funda,302.2,47
100,Tablet,431.49,76
101,Tablet,684.95,13
102,Notebook,706.2,5
103,Celular,771.12,22
104,Funda,488.21,41
105,Funda,600.24,6
106,Notebook,628.7,15
107,Funda,207.67,30
108,Tablet,684.25,46
109,Funda,757.21,99
110,Tablet,437.59,92
111,Notebook,743.58,32
112,Celular,420.17,18
113,Cargador,199.71,29
114,Tablet,314.87,71
115,Celular,255.72,3
116,Funda,395.08,0
117,Funda,697.5,50
118,Celular,239.43,69
119,Celular,594.07,40
120,Notebook,796.83,35
121,Tablet,415.79,51
122,Celular,763.41,15
123,Celular,166.57,49
124,Notebook,339.35,8
125,Tablet,305.82,67
126,Celular,769.89,65
127,Funda,723.12,34
128,Notebook,486.45,34
129,Tablet,350.51,85
130,Celular,507.91,38
131,Tablet,389.08,2
132,Funda,334.46,45
133,Celular,186.96,58
134,Notebook,581.22,17
135,Notebook,481.07,33
136,Tablet,490.86,92
137,Notebook,313.77,8
138,Tablet,195.62,44
139,Cargador,316.18,5
140,Tablet,777.04,9
141,Tablet,392.04,41
142,Funda,335.43,50
143,Funda,454.25,73
144,Cargador,676.66,77
145,Notebook,181.53,62
146,Cargador,401.55,7
147,Notebook,244.95,32
148,Cargador,585.99,79
149,Tablet,646.96,66
150,Celular,390.06,41
151,Funda,278.46,77
152,Notebook,418.35,76
153,Notebook,68.21,48
154,Cargador,291.59,91
155,Tablet,572.51,13
156,Tablet,159.11,75
157,Notebook,417.56,1
158,Notebook,96.07,32
159,Funda,139.8,27
160,Celular,208.06,9
161,Cargador,385.88,36
162,Funda,383.75,7
163,Celular,143.48,54
164,Notebook,18.84,11
165,Cargador,274.29,89
166,Cargador,532.11,36
167,Tablet,133.4,80
168,Celular,546.9,58
169,Funda,93.92,76
170,Cargador,729.96,63
171,Notebook,605.16,23
172,Notebook,743.71,32
173,Funda,782.83,65
174,Celular,520.01,79
175,Funda,267.47,75
176,Celular,167.1,73
177,Notebook,778.57,62
178,Cargador,387.27,17
179,Notebook,461.98,86
180,Notebook,566.85,65
181,Funda,582.18,5
182,Celular,41.53,76
183,Tablet,189.65,59
184,Notebook,34.27,44
185,Funda,94.55,92
186,Cargador,662.17,29
187,Notebook,24.23,56
188,Tablet,462.73,56
189,Celular,765.65,67
190,Funda,637.84,53
191,Funda,70.61,17
192,Cargador,773.94,12
193,Cargador,573.09,52
194,Cargador,525.49,82
195,Cargador,272.31,93
196,Celular,763.28,19
197,Cargador,139.28,60
198,Cargador,509.41,57
199,Funda,668.02,33
200,Cargador,293.65,61
201,Celular,307.85,88
202,Funda,729.13,73
203,Funda,246.91,79
204,Notebook,643.23,32
205,Cargador,607.94,60
206,Cargador,506.64,70
207,Notebook,230.92,18
208,Cargador,703.72,34
209,Tablet,201.97,73
210,Notebook,399.69,38
211,Celular,105.67,71
212,Celular,160.79,22
213,Celular,298.67,99
214,Notebook,433.06,15
215,Celular,309.82,54
216,Tablet,177.3,27
217,Funda,699.76,23
218,Notebook,722.83,26
219,Funda,655.68,11
220,Funda,520.29,60
221,Tablet,330.46,30
222,Cargador,203.62,61
223,Tablet,549.03,97
224,Funda,568.47,73
225,Tablet,64.26,44
226,Celular,388.66,80
227,Tablet,456.47,23
228,Notebook,627.27,64
229,Notebook,759.47,71
230,Celular,198.52,17
231,Funda,767.21,64
232,Tablet,306.33,12
233,Notebook,210.49,84
234,Notebook,197.77,38
235,Cargador,368.09,76
236,Tablet,101.57,37
237,Notebook,351.32,37
238,Funda,54.23,83
239,Cargador,453.23,43
240,Celular,537.37,87
241,Cargador,102.41,77
242,Funda,28.56,13
243,Funda,429.16,43
244,Cargador,307.94,90
245,Notebook,233.94,27
246,Notebook,319.6,46
247,Notebook,320.92,68
248,Funda,427.79,4
249,Tablet,99.44,98
250,Funda,133.16,31
251,Tablet,127.46,58
252,Celular,299.14,89
253,Celular,328.92,41
254,Funda,96.69,63
255,Cargador,258.69,96
256,Funda,260.5,82
257,Funda,12.83,54
258,Notebook,328.65,87
259,Cargador,344.5,39
260,Celular,667.34,71
261,Funda,90.01,36
262,Cargador,71.35,39
263,Funda,174.99,70
264,Celular,672.99,16
265,Cargador,445.64,10
266,Notebook,680.48,25
267,Celular,684.69,47
268,Tablet,100.29,11
269,Cargador,304.76,78
270,Celular,224.38,63
271,Notebook,397.05,43
272,Tablet,254.72,93
273,Funda,716.54,41
274,Tablet,426.19,23
275,Cargador,785.1,33
276,Cargador,646.11,88
277,Tablet,678.91,46
278,Celular,636.52,25
279,Notebook,729.95,45
280,Celular,468.59,30
281,Funda,555.68,94
282,Notebook,538.6,86
283,Celular,737.42,25
284,Funda,313.15,96
285,Cargador,163.01,37
286,Funda,70.92,6
287,Cargador,607.65,22
288,Notebook,455.61,29
289,Funda,772.37,83
290,Celular,516.51,31
291,Celular,356.39,87
292,Funda,462.53,97
293,Tablet,502.05,53
294,Celular,399.77,15
295,Tablet,798.82,83
296,Tablet,748.3,86
